70217072 16
70217088 16
70217104 16
70217120 16
70217136 16
70218528 8
70218784 16
70218944 16
70218960 16
70218976 16
70218992 16
70219008 16
70219024 16
70219040 16
70219312 56
70219320 8
70219328 8
70219336 8
70219344 8
70219352 8
70219360 8
70219376 56
70219432 56
70219488 56
70219544 56
70219600 56
70219656 56
70219712 56
70220768 16
70260208 56
70260264 56
70260320 56
70260376 56
70260432 56
70260488 56
70260544 56
70260600 56
70262768 8
70274864 56
70274872 8
70274880 8
70274888 8
70274896 8
70274904 8
70274912 8
70499104 73728
77025072 25704
77050776 25752
77076528 3440
77079968 26072
77106040 4008
77110048 4384
77114432 368
77262912 2872
77265784 2680
77268464 32
77268496 2864
77271360 96
77271456 80
77374656 26048
77380464 6344
77386808 2088
77388896 5072
77393968 776
77394744 1832
77396576 776
77400704 25296
77415632 12248
77426000 3848
77427880 6928
77429848 26736
77434808 12368
77447176 12248
77456584 4128
77459424 4744
77460712 4592
77464168 7488
77465304 456
77465776 25704
77471656 5392
77477048 12368
77489416 12048
77491480 25752
77501464 3584
77505048 10384
77515432 10552
77517232 3440
77520672 26072
77525984 2136
77528120 3808
77531928 2920
77534848 7944
77542792 2752
77545544 2104
77546744 4008
77547648 1248
77548912 8
77548920 88
77549008 152
77549160 8
77549168 120
77549288 112
77549400 88
77549488 112
77549600 160
77549760 48
77549808 168
77549976 152
77550128 72
77550200 16
77550216 128
77550344 128
77550472 48
77550520 48
77550568 144
77550712 112
77550752 4384
77550824 136
77550960 144
77551104 128
77551232 48
77551280 128
77551408 112
77551520 16
77551536 8
77551544 80
77551624 144
77551768 152
77551920 120
77552040 152
77552192 160
77552352 128
77552480 40
77552520 152
77552672 128
77552800 48
77552848 64
77552912 24
77552936 136
77553072 104
77553176 40
77553216 128
77553344 48
77553392 56
77553448 72
77553520 24
77553544 8
77555136 368
77563248 3656
77566904 3664
77570568 488
77571056 3784
77574840 576
77575416 632
77576048 48
77576112 56
77576120 8
77576128 8
77576136 8
77576144 8
77576152 8
77576160 8
77576176 56
77576232 56
77576288 56
77576344 56
77576400 56
77576456 56
77576512 56
77576568 56
77576624 56
84654912 150080
84727744 72952
84800696 42472
84804992 149048
84843168 81704
84924872 39864
84954040 35896
84964736 40248
84989936 150928
85004984 18480
85140864 36632
85177496 39344
85216840 5704
85222560 150080
85372640 149048
85521688 35896
85557584 150928
85708512 36632
85745144 39344
85784488 5704
91732816 155904
91888720 154312
92043032 1440
92044472 157656
92202128 1648
92203776 1760
92205536 16
96508672 145096
96538152 27152
96565304 2640
96567944 39960
96607904 3936
96611840 2656
96614512 29480
96643992 27152
96653768 141112
96671144 2640
96673784 39960
96713744 3936
96717680 2656
96720352 34632
96754984 35240
96790224 2952
96793176 30592
96794880 31528
96823768 2864
96826408 155232
96826632 3912
96830560 34632
96865192 35240
96872304 74352
96900432 2952
96903384 30592
96933976 2864
96936840 3912
96946656 74624
96981640 34840
97016480 37248
97021280 42576
97036160 73728
97053728 4104
97063856 74104
97109888 73728
97137960 37344
97175304 42192
97183616 768
97184384 73728
97217496 14432
97231936 74352
97258112 768
97258880 768
97259648 8
97306288 74624
97380912 42576
97423488 74104
97497592 37344
97534936 42192
97577128 14432
97591568 72832
97664400 72952
97737352 42472
97779824 81704
97861528 39864
97901392 40248
97941640 18480
98238672 528
98239200 336
98239536 568
98240104 904
98241008 88
98241096 384
98241480 88
98241568 528
98242096 872
98242968 56
98243024 888
98243912 840
98244752 160
98244912 64
98244976 336
98245312 136
98245448 112
98245560 24
98657008 2896
98657016 3656
98659904 2960
98660672 3664
98662864 1192
98664056 3168
98664336 488
98664824 3784
98667224 1120
98668344 1560
98668608 576
98669184 632
98669816 48
98669880 3656
98669904 480
98673536 3664
98677200 488
98677688 3784
98681312 16
98681328 16
98681344 16
98681360 16
98681376 16
98681392 16
98681408 16
98681472 576
98681680 56
98681744 56
98681800 56
98681856 56
98681912 56
98681968 56
98682024 56
98682048 632
98682080 56
98682144 72
98682680 48
98682736 8584
98683960 1224
98685184 1432
98686616 1160
98687776 1528
98689304 1400
98690704 472
98691320 8088
98699408 1296
98699568 1048
98699576 1048
98699856 584
98700512 592
98700616 1048
98700624 1048
98700704 8256
98701664 416
98701672 416
98702080 1064
98702088 1064
98703144 360
98703152 360
98703248 8
98703256 8
98703264 8
98703272 8
98703280 8
98703288 8
98703504 416
98703512 416
98703920 104
98703928 104
98704056 992
98705048 1008
98705104 1048
98705648 8
98705656 8
98705664 8
98705672 8
98705680 8
98705688 8
98705696 8
98705704 8
